phrase,label,source
"In a chest behind an illusory wall at the top of Firelink Shrine. Located behind Picklepum's indoor nest. +1 Version (NG+): While progressing through Irithyll Dungeon, you'll find an elevator shortcut that heads to the first bonfire of the area. This ring is located on a ledge in the elevator room. +2 Version (NG++): Undead Settlement. In the area after meeting Siegward with the Fire Demon, located on the roof of a shack in the far back of the area. Drop off the wooden ledge outside the room with two Cathedral Evangelists to access it. +3 Version ( The Dreg Heap ) After meeting the first angel that shoots at you fall down onto the perch and continue into the open door archway. From there you should see 2 Knight enemies and on the right-hand side there is an area you enter. You make a right and you should be in some small quarter areas. Proceed all the way to the furthest wall north of you. Turn to the left and hit it to reveal a fog wall. Climb the stairs there and just before you obtain Great Soul Dreg on your left, is a balcony. From that balcony you must drop down and there is the ring.",,darksouls3
Allows attunement of additional spells (+1 attunement slot),,darksouls3
Sold by Irina of Carim for 300 souls.,,darksouls3
Allow attunement of additional spells (+1 attunement slot),,darksouls3
Drops from a Deacon in a tower outside the Cathedral of the Deep.,,darksouls3
Allows attunement of many additional spells (+2 attunement slots),,darksouls3
Rank 1 covenant reward: Blade of the Darkmoon.,,darksouls3
Young Dragon Ring,,darksouls3
Boosts sorcery damage by +12%.,,darksouls3
Starting equipment for the Sorcerer. Given by Orbeck of Vinheim after purchasing several spells.,,darksouls3
Bellowing Dragoncrest Ring,,darksouls3
Boosts sorcery damage by +20%.,,darksouls3
"From the Irithyll Dungeon bonfire, head straight into the large room and then turn right, proceed until the end of the corridor and open the gate with the Jailbreaker's Key. The ring is on the rocks below.",,darksouls3
Great Swamp Ring,,darksouls3
Boosts pyromancy damage by +12%.,,darksouls3
"Starting equipment for the Pyromancer. Dropped by the Great Crab, up the ladder near the Farron Keep bonfire in the Road of Sacrifices.",,darksouls3
Boosts pyromancy damage by +20%,,darksouls3
"Catacombs of Carthus: just after the stray demon, walking towards the 'Abandoned Tomb' Bonfire, there will be a corpse holding the ring at the end of a hallway.",,darksouls3
Boosts miracle damage by 12%,,darksouls3
Under the bridge between the 1st and 2nd bonfires of Road of Sacrifices. There is an area to the right of the bridge's beginning where players may drop down into the cave.,,darksouls3
Ring of the Sun's First Born,,darksouls3
Boosts miracle damage by 20%,,darksouls3
"In Irithyll of the Boreal Valley. From Pontiff Sulyvahn's room, head back out towards the railing and fall straight onto the altar below.",,darksouls3
Lingering Dragoncrest Ring,,darksouls3
Extends length of spell effects by 30% +1: +35% +2: +40%,,darksouls3
"Farron Keep, Keep Ruins bonfire. Drops from the Great Crab patrolling a white birch tree. +1 Version (NG+): Found next to the giant crab just below the Crucifixion Woods bonfire in the Road of Sacrifices. +2 Version (NG++): Located in Lothric Castle. Before the Lothric Prince Boss fight, there is a dome shaped roof with three golden Winged Knights. Go up the spiral staircase at the center of the dome shaped roof. You'll encounter a ladder, don't go up the ladder, instead go around the ledge to find this ring on a corpse hidden in an alcove.",,darksouls3
Spell casting speed increased as if you had +30 DEX +1: +35 +2: +40,,darksouls3
"Found to the left of the swamp area of Road of Sacrifices inside a room with an enemy. +1 Version (NG+): found in the rafters above the Archives. Drop down from the roof where the golden winged knights are located. +2 Version (NG++): Located in the Consumed King's garden. When initially taking the elevator down, get off halfway to a ledge. Turn left and drop down onto some broken stairs. Pick up the item here and look to the left to find the ring on another set of broken stairs. You can get over there with a well-timed roll.",,darksouls3
Dusk Crown Ring,,darksouls3
Reduces spells' consumption of FP by 25% at the cost of 15% less max HP,,darksouls3
Located in the Irithyll Dungeon. The ring is in a cell beside the open area with six patrolling Jailers.,,darksouls3
Strengthens thrust weapon counter attacks by 15%,,darksouls3
"Found in a chest on the second floor of the room with Gwynevere's painting in Irithyll of the Boreal Valley. Just beyond where either Siegward of Catarina is located during his questline or, more commonly notable, the Estus Soup is placed.",,darksouls3
Increases poise by 4 points +1: +6 +2: +8 +3: +9,,darksouls3
"Rank 2 covenant reward: Watchdogs of Farron. +1 Version (NG+) Can be found on a corpse immediately outside the Keep Ruins bonfire building. +2 Version (NG++): Can be found in Cemetery of Ash, after the Iudex Gundyr boss fight. It's lying behind the golden door, on the left. +3 Version ( The Ringed City ): Dropped by Alva, Seeker of the Spurned.",,darksouls3
Extends the range of arrows,,darksouls3
"Dropped from the Giantat the top of the tower in the Undead Settlement, upon His Death.",,darksouls3
Increases Critical Damage by 30%,,darksouls3
"Found in Untended Graves, behind a Black Knight standing guard where the Starved Hound is found when at the Firelink Shrine.",,darksouls3
Knight Slayer's Ring,,darksouls3
Enemies lose 20% more stamina when guarding attacks.,,darksouls3
"Defeating the dark phantom of Knight Slayer Tsorig at Catacomb of Carthus. Location to summon him is in a barred area beside the Skeleton Ball's path or the Hound-Rats. Or if the invasion was skipped, gained from killing Knight Slayer Tsorig at Smouldering Lake. After the basilisks, turn left at the bottom of the stairs.",,darksouls3
Ring of the Evil Eye,,darksouls3
Absorb +30 HP from each defeated foe. +1: +33 +2: +35 +3: +37,,darksouls3
"Quest Reward: Anri of Astora. Obtained when Anri relocates to the Church of Yorshka. +1 Version (NG+): Can be found just before Deacons of the Deep fight, at the back of the altar. +2 Version (NG++): Located in the High Wall of Lothric. From the second bonfire, head down to the roof with the first crystal lizard and the enemy that morphs. Climb the ladder down. Run past the spear wielding Lothric knight. Head down into the room with the estus shard on the mantle. The ring will be on the wall to the left, hidden behind a barrel. +3 Version ( The Ringed City ): Dropped from a mimic inside the spiral crypt across the bridge from the Ringed City Streets bonfire shortcut.",,darksouls3
Reduces Skill FP consumption by 25%,,darksouls3
Acquired by talking to Hawkwood after defeating the Abyss Watchers.,,darksouls3
Reduced damage taken from backstabs by 30%,,darksouls3
"Found in the Consumed King's Garden. When taking the second elevator in the area which grants a shortcut, get off early to reach a ledge with a Lothric Priest. The ring will be beside him.",,darksouls3
Enemies lose 40% more Stamina when guarding against your kicks,,darksouls3
Sold by Unbreakable Patches for 500 souls. Dropped by Unbreakable Patches upon his death.,,darksouls3
Wood Grain Ring,,darksouls3
Increases weapon durability by 20% +1: +30% +2: +40%,,darksouls3
"Purchased from the Shrine Handmaid after Easterner's Ashes is turned in. +1 Version (NG+): Behind the first elevator in the Consumed King's Garden, at the bottom. +2 Version (NG++): Irithyll of the Boreal Valley - Run past the room with the three Silver knights (room that contains Gwynevere's painting and Smough's hammer in a chest), go outside, turn right and the ring is located in an alcove.",,darksouls3
Lowering equip load increases attack power up to 15%,,darksouls3
Looted from a corpse on the top of a roof at Undead Settlement: In the area where you fight the Fire Demon with Siegward of Catarina.,,darksouls3
Magic Clutch Ring,,darksouls3
Increases magic attack by 15% (PVP: +8%) Reduces physical absorptions by 10% (PVP: -15%),,darksouls3
"Irithyll of the Boreal Valley - From the Church of Yorshka bonfire, go back the way you came from. Head down the curved staircase and then left through the archway. Ahead up more stairs and to the right of the Fire witch and 2 Pontiff Knights is an illusionary wall. Behind which you'll find the ring.",,darksouls3
Fire Clutch Ring,,darksouls3
Increases fire attack by 15% (PVP: +8%) Reduces physical absorptions by 10% (PVP: -15%),,darksouls3
"On a corpse in the Undead Settlement. Behind the gallows on a wooden bridge, an area directly above the Cliff Underside Bonfire.",,darksouls3
Lightning Clutch Ring,,darksouls3
Increases lightning attack by 15% (PVP: +8%) Reduces physical absorptions by 10% (PVP: -15%),,darksouls3
"On a corpse in Archdragon Peak, to the left of the gate that leads to the Ancient Wyvern.",,darksouls3
Dark Clutch Ring,,darksouls3
Increases dark attack by 15% (PVP: 8%) Reduces physical absorptions by 10% (PVP: -15%),,darksouls3
Dropped by a mimic in the Irithyll Dungeon. After passing the giant there is a hallway with rats. The mimic is at the end of the hallway on the left side.,,darksouls3
Red Tearstone Ring,,darksouls3
Increases damage by 20% when HP is below 20%,,darksouls3
"Lothric Castle - Facing away from the Dragonslayer Armour Boss, to the left there is an elevator. Beside the elevator is a door to the balcony. Follow the balcony to the right to find this ring.",,darksouls3
Blue Tearstone Ring,,darksouls3
Increases absorptions by 20% (PVP: 15%) when HP is below 20%,,darksouls3
Given by Greirat of the Undead Settlement.,,darksouls3
Lloyd's Sword Ring,,darksouls3
Increases attack by 10% when HP is full (>99%),,darksouls3
"On a corpse inside Cathedral of the Deep, near the entrance on a ledge next to the Giant who attacks you when running by.",,darksouls3
Lloyd's Shield Ring,,darksouls3
Increases absorptions by 20% when HP is full (>99%),,darksouls3
"Can be bought from the Shrine Handmaid, after Paladin's Ashes are given to her.",,darksouls3
Increases DEX by 3 levels and obscures the wearer while rolling.,,darksouls3
Found within the Catacombs of Carthus just after the first bonfire in a room with many vases.,,darksouls3
Increases duration of invincibility while rolling and reduces absorptions by 30%,,darksouls3
"Found at Catacombs of Carthus, from the second bonfire past the wheel skeletons.",,darksouls3
Pontiff's Right Eye,,darksouls3
"Increases damage of consecutive attacks by +3% / +5% / +11%, as long as attacking persists.",,darksouls3
"Located in the Irithyll of the Boreal Valley. Drops from the Sulyvahn's Beast, who spawns either on the bridge entering Irithyll, or the water below the bridge if you fail to kill it the first time.",,darksouls3
Pontiff's Left Eye,,darksouls3
Restores 30 HP after a certain amount of successive attacks.,,darksouls3
Soul Transposition using Soul of Boreal Valley Vordt.,,darksouls3
Recovers 85 HP from critical attacks,,darksouls3
Dropped by the Deep Accursed in Anor Londo.,,darksouls3
Recovers 15 FP from critical attacks,,darksouls3
Dropped by the Deep Accursed in the Cathedral of the Deep.,,darksouls3
"Prevents fall damage, but falling a lethal distance still kills you.",,darksouls3
Given by Sirris of the Sunless Realms after helping her defeat Creighton in Irithyll of the Boreal Valley.,,darksouls3
Slumbering Dragoncrest Ring,,darksouls3
Movement and rolling are silent.,,darksouls3
"Given by Orbeck of Vinheim after you have purchased Aural Decoy, Farron Flashsword, Pestilent Mist, and Spook, along with the 'Silent Ally' gesture.",,darksouls3
"Enemies need to be closer to notice you with sight, and you are invisible to other players beyond a certain distance",,darksouls3
"Rank 1 covenant reward: Rosaria's Fingers. Note: in order to get this ring and the Silvercat Ring in one playthrough, only offer the Pale Tongues to Rosaria, Mother of Rebirth after getting the Silvercat ring from Sirris of the Sunless Realms.",,darksouls3
Untrue Dark Ring,,darksouls3
Retain human appearance while hollow and appear as a host in other worlds.,,darksouls3
Purchased from Yuria of Londor.,,darksouls3
Untrue White Ring,,darksouls3
Take the appearance of a white phantom at all times,,darksouls3
"Use the animations of the opposite gender (run and walk animations, emotes, etc.)",,darksouls3
"Found in the Darkmoon Tomb in Anor Londo to the right of the altar. For reference, the Darkmoon Tomb is hidden behind an illusory wall in the circular room before the lever which controls the platform leading to the Anor Londo bonfire.",,darksouls3
Easier to be detected by enemies.,,darksouls3
Dropped from Ludleth of Courland when killed or can be obtained by visiting his throne before beginning the next Journey.,,darksouls3
Reduces absorptions by 100%,,darksouls3
Archdragon Peak. Use the 'Path of the Dragon' gesture at the altar near the Dragon-Kin Mausoleum bonfire. The Drakeblood Knight spawns just next to this altar.,,darksouls3
Ring of Sacrifice,,darksouls3
"Its wearer will lose nothing upon death, but the ring itself breaks.",,darksouls3
"High Wall of Lothric: On an awning reachable by a minor jump in the courtyard. This area is patrolled by a Winged Knight and the stairs that lead to the platform which players must jump from is guarded by a Hollow Soldier. Yuria of Londor (or Shrine Handmaid if given Yuria's ashes): Three of them can be bought from her, for 5000 souls each. Road of Sacrifices: One can be found on a corpse hanging on a ledge overlooking the Crucifixion Woods. Consumed King's Garden: One can be found on a corpse in the toxic swamp to the left exiting the initial elevator. 'Nestling' Crow: Give Loretta's Bone to the Crow to receive a Ring of Sacrifice.",,darksouls3
Increases frost resistance by 140.,,darksouls3
"Given to you after meeting and speaking with Sister Friede, near the Rope Bridge Cave bonfire, in the cathedral at the Painted World of Ariandel.",,darksouls3
Use to restore some HP.,,darksouls3
Ashen Estus Flask,,darksouls3
Use to restore some FP.,,darksouls3
Found on a body at the very beginning of the game,,darksouls3
Use to fully restore HP and cure all ailments.,,darksouls3
"Burial Gift One can be bought by Greirat of the Undead Settlement for 8,000 souls after a scavenging trip. Dropped by a Silver Knight in the manor. 1x in a chest in Irithyll of the Boreal Valley, on the top floor of the manor. 1x at Grand Archives.",,darksouls3
Fully recover FP,,darksouls3
Restores 20% of maximum HP + 100 HP. + Temporarily boosts frost resistance by 150 for 60 seconds.,,darksouls3
Given by Siegward of Catarina,,darksouls3
Use to increase your Stamina regeneration (+6) for 60 seconds.,,darksouls3
High Wall of Lothric (2x) Road of Sacrifices (2x) Sold by Shrine Handmaid,,darksouls3
Budding Green Blossom,,darksouls3
Use to increase your Stamina regeneration (+9) for 60 seconds.,,darksouls3
Found in Irithyll of the Boreal Valley. Extremely rare drop from Sewer Centipedes in Irithyll sewers. A unique version can be bought from the Shrine Handmaid during Sirris ' questline.,,darksouls3
Repairs equipped weapons and armor.,,darksouls3
Sold by Shrine Handmaid for 600 souls 2x Found at Undead Settlement: Head left from the Undead Settlement bonfire into a house. Go to the lower floor and head out into the balcony. On the right side corner of the balcony you will find them on a corpse by a wall. 4x Found in the Farron Keep swamp near the Golden Scroll.,,darksouls3
Blue Bug Pellet,,darksouls3
15% boost in magic damage absorption for 120 seconds.,,darksouls3
Road of Sacrifices,,darksouls3
Yellow Bug Pellet,,darksouls3
15% boost in lightning damage absorption for 120 seconds.,,darksouls3
Catacombs of Carthus Smouldering Lake,,darksouls3
Red Bug Pellet,,darksouls3
15% boost in fire damage absorption for 120 seconds.,,darksouls3
Sold by Unbreakable Patches for 1000 Souls.,,darksouls3
Black Bug Pellet,,darksouls3
15% boost in dark damage absorption for 120 seconds.,,darksouls3
"Sold by the Shrine Handmaid for 1,500 souls. (after giving her the Dreamchaser's Ashes ) Found on top of the small hill right in front of the Abyss Watchers arena (x3). Found in the Catacombs of Carthus before the suspension bridge (x2). Dropped by Ghru (leaper) in Farron Keep.",,darksouls3
"Temporarily boosts bleed, poison, frost and curse resistance for 60 seconds.",,darksouls3
"Rare drop from Basilisk Sold by the Shrine Handmaid for 1.500 souls, after giving her the Dragon Chaser's Ashes.",,darksouls3
Bloodred Moss Clump,,darksouls3
Reduces bleeding build-up.,,darksouls3
Sold by Greirat of the Undead Settlement for 500 souls. Rare drop from Lesser Crabs. Found in the Catacombs of Carthus (x3).,,darksouls3
Purple Moss Clump,,darksouls3
Reduces poison build-up. Cures poison.,,darksouls3
"6x Sold by Shrine Handmaid for 500 souls. Infinite supply sold by Shrine Handmaid after giving her Paladin's Ashes. Rare drop from lesser crabs in Road of Sacrifices. 3x Found along the wall in the swamp, to the right of the Farron Keep bonfire exit. 4x Found on top of a broken walkway path near the first extinguishable fire in Farron Keep. 2x Found right in front of the second extinguishable fire in Farron Keep.",,darksouls3
Blooming Purple Moss Clump,,darksouls3
Reduces poison and toxin build-up. Cures poison and toxin.,,darksouls3
"Sold by Shrine Handmaid for 1000 souls after giving her Excrement-covered Ashes. 3x Found in Profaned Capital, on a plank walkway overlooking the toxic swamp. Dropped by Lesser Crab in Catacombs of Carthus.",,darksouls3
Rime-Blue Moss Clump,,darksouls3
Reduces frost build up. Cures frostbite status.,,darksouls3
"Sold by Shrine Handmaid for 500 souls after giving her Prisoner Chief's Ashes. 1x Found on a corpse next to the Irithyll of the Boreal Valley bonfire. 2x Found beside a tree, across the road of the second Fire Witch in Irithyll of the Boreal Valley. Dropped by Lesser Crab in Catacombs of Carthus.",,darksouls3
Reduces undead curse build-up. Cures hollowing.,,darksouls3
Purchase from Yuria of Londor for 4500 souls. Profaned Capital Purchase form merchant at Untended Graves for?? souls.,,darksouls3
Charcoal Pine Bundle,,darksouls3
Applies +85 fire damage to right-hand weapon for 60 seconds.,,darksouls3
Sold by Shrine Handmaid for 500 soul after giving her Mortician's Ashes. Dropped by peasant hollows in Undead Settlement.,,darksouls3
Applies +110 fire damage to right-hand weapon for 10 seconds.,,darksouls3
Sold by Shrine Handmaid for 300 soul after giving her Mortician's Ashes. Dropped by sickle-wielding hollows in Undead Settlement. 4x found in Undead Settlement,,darksouls3
Gold Pine Resin,,darksouls3
Applies +95 lightning damage to right-hand weapon for 60 seconds.,,darksouls3
3x Sold by Shrine Handmaid after giving her Dreamchaser's Ashes. 2x at High Wall of Lothric Sold by Shrine Handmaid after giving her Xanthous Ashes.,,darksouls3
Gold Pine Bundle,,darksouls3
Applies +120 lightning damage to right-hand weapon for 10 seconds.,,darksouls3
"6x Sold by Shrine Handmaid after giving her Dreamchaser's Ashes. 6x Found in Farron Keep, near the white birch and the Large Crab. Sold by Shrine Handmaid for 600 souls after giving her Xanthous Ashes.",,darksouls3
Pale Pine Resin,,darksouls3
Applies +90 magic damage to right-hand weapon for 60 seconds.,,darksouls3
"Sold by Shrine Handmaid for 1000 souls, after giving her Prisoner Chief's Ashes.",,darksouls3
Human Pine Resin,,darksouls3
Applies +95 dark damage to right-hand weapon for 60 seconds.,,darksouls3
Sold by Unbreakable Patches for 1500 Souls. 1x on a corpse near the group of slugs in Consumed King's Graden. 2x on a corpse beside a staircase past the slugs in Consumed King's Garden. Dropped by skeleton at Undead Settlement behind the locked door.,,darksouls3
Rotten Pine Resin,,darksouls3
Applies +45 poison effect to right-hand weapon for 60 seconds.,,darksouls3
Sold by Shrine Handmaid,,darksouls3
Applies +20 bleed damage to right-hand weapon for 60 seconds.,,darksouls3
Catacombs of Carthus,,darksouls3
Temporarily disables special effects in vicinity.,,darksouls3
Cathedral of the Deep,,darksouls3
Increases Item Discovery by 50 for 60 seconds.,,darksouls3
