phrase,label,source
From the Nightmare Church Lamp in The Hunter's Nightmare go down the stairs and follow the path. Drop down into the pools of blood and follow the path further to grab the weapon. (DLC Weapon),,bloodborne
Found on corpses throughout Yharnam and sold by Messengers. Drops from Crows.,,bloodborne
Beast Blood Pellet,,bloodborne
"Enables Beasthood, increasing the damage a hunter deals and receives with increasing intensity as they bathe in blood.",,bloodborne
Rare drop from Werewolf. Rare drop from crows in the DLC. Found on corpses throughout Yharnam. Can be purchased from the Bath Messengers after obtaining the Cosmic Eye Watcher Badge,,bloodborne
Awful things that Vilebloods see in coldblood. Consume to gain 1 Insight.,,bloodborne
Dropped by killing other hunters (NPCs or Players) once the Corruption Caryll Rune has been equipped.,,bloodborne
Blood of Adella,,bloodborne
Restores HP and gradually restores HP over time.,,bloodborne
Given by Adella at the Cathedral Ward.,,bloodborne
Blood of Adeline,,bloodborne
"Restores HP for 50%, then gradually restores HP over time",,bloodborne
Given by Saint Adeline at the Research Hall once she is given Brain Fluid.,,bloodborne
Blood of Arianna,,bloodborne
Restores HP and temporarily boosts Stamina recovery speed.,,bloodborne
Given by Arianna at the Cathedral Ward.,,bloodborne
Restores HP when consumed.,,bloodborne
Found on corpses throughout Yarnham,,bloodborne
Makes the user nearly invisible while not moving.,,bloodborne
Sold by Bath Messengers after obtaining the Cosmic Eye Watcher Badge Also dropped by Scythe Priests with the Blue Flame Upgrade.,,bloodborne
Bold Hunter's Mark,,bloodborne
Allows you to reawaken at a lamp without losing your Blood Echoes.,,bloodborne
Given by Eileen the Crow in Central Yharnam.,,bloodborne
Temporarily adds 80 bolt damage to right-hand weapon.,,bloodborne
"Sold by Bath Messengers for 1 insight or 14,000 Blood Echoes each. Trigger: Receiving the Spark Hunter Badge from Darkbeast Paarl. Also found throughout the game.",,bloodborne
Bone Marrow Ash,,bloodborne
Increases your next QS Bullet damage when used on your firearm. Can be used on Flamesprayer or Rosmarinus.,,bloodborne
Found throughout the world. Sold by Bath Messengers. Unlocked by obtaining the Radiant Sword Hunter Badge.,,bloodborne
Can be consumed to acquire Blood Echoes.,,bloodborne
"Coldblood Dew (1) = 350 Blood Echoes. Coldblood Dew (2) = 500 Blood Echoes. Coldblood Dew (3) = 1,000 Blood Echoes.",,bloodborne
Molotov cocktail that explodes on a timed delay.,,bloodborne
Sold by lower Bath Messengers after obtaining the Firing Hammer Badge by killing the Beasthood Hunter found near the Boom Hammer in the Hunters Nightmare. Drop from the Huntsman in the Hunters Nightmare.,,bloodborne
Delayed Rope Molotov,,bloodborne
Molotov that is thrown backwards and explodes on delay,,bloodborne
Sold by lower Bath Messengers after obtaining the Firing Hammer Badge by killing the Beasthood Hunter found near the Boom Hammer in the Hunters Nightmare.,,bloodborne
Temporarily adds 80 fire damage to right-hand weapon.,,bloodborne
Sold by Bath Messengers. Unlocked by obtaining the Radiant Sword Hunter Badge. Also found throughout the game.,,bloodborne
Use to gain frenzied Blood Echoes.,,bloodborne
"Frenzied ColdBlood (7) = 2,000 Blood Echoes. Frenzied ColdBlood (8) = 3,000 Blood Echoes. Frenzied ColdBlood (9) = 5,000 Blood Echoes.",,bloodborne
Consume to gain a Blood Gem.,,bloodborne
Dropped by Vicar Amelia.,,bloodborne
Great One's Wisdom,,bloodborne
Consume to gain 2 Insight.,,bloodborne
One found in Byrgenwerth near giant centipede by entrance. Found in Nightmare of Mensis near the giant Frenzy-inducing enemy by dropping off onto a rooftop when traveling on one of the elevators. Note: Easier to obtain once the enemy is dropped into the pit.,,bloodborne
Great One Coldblood,,bloodborne
"Can be consumed to acquire a huge amount of Blood Echoes (40,000)",,bloodborne
Found in some level 4 & 5 dungeons.,,bloodborne
Use Weapons in both hands while illuminating the dark. No longer decreases stamina regeneration rate as of patch 1.03.,,bloodborne
Sold by Bath Messengers. Unlocked by obtaining the Sword Hunter Badge.,,bloodborne
Iosefka's Blood Vial,,bloodborne
Consume to gain a larger amount of HP.,,bloodborne
"When returned to the 1st sickroom after your first visit to the Hunters Dream turn around and go up the stairs behind you to a locked door and talk to Iosefka, she'll gift the blood vial to you after you promise to stop begging to be let in! You get one in Iosefka 's Clinic from a celestial mob. Also in a chest outside Mergo's Wet Nurse boss elevator.",,bloodborne
Use to gain unspeakable Blood Echoes.,,bloodborne
"Kin Coldblood (10) = 8,000 Blood Echoes. Kin Coldblood (11) = 10,000 Blood Echoes. Kin Coldblood (12) = 20,000 Blood Echoes.",,bloodborne
"Incoming blows bounce off, dealing reduced damage.",,bloodborne
Numerous locations within Nightmare Realms.,,bloodborne
Consume to gain 1 Insight.,,bloodborne
"Treasure in Sewer near Rats in Central Yharnam. Treasure x2 in Cathedral Ward, close to the lever that moves the tomb. Also found throughout the game in general.",,bloodborne
Consumed in the use of Firearms and Hunter Tools.,,bloodborne
Sold by the Messengers. Drop from rifle-wielding Huntsmen. Random loot.,,bloodborne
Red Jeweled Brooch,,bloodborne
Use to gain a droplet Blood Gem.,,bloodborne
Treasure on a ledge inside the Tomb of Oedon.,,bloodborne
Removes Frenzy and Beasthood buildup.,,bloodborne
Drops from Nightmare enemies.,,bloodborne
Shaman Bone Blade,,bloodborne
"Bites deep, turning an enemy hostile to its fellows.",,bloodborne
Found in the main hall of Upper Cathedral Ward. Also a rare drop from the Brainsucker found in Byrgenwerth.,,bloodborne
Emits a bright glow when placed.,,bloodborne
Purchased in Hunter's Dream. Also found throughout the game.,,bloodborne
Can be consumed to acquire a large amount of Blood Echoes,,bloodborne
"Thick Coldblood(4) = 1,200 Blood Echoes Thick Coldblood(5) = 1,500 Blood Echoes Thick Coldblood(6) = 1,800 Blood Echoes",,bloodborne
One Third of Umbilical Cord,,bloodborne
Consume to gain 3 Insight. Also has a special effect on the outcome of the game. Beware of spoilers when reading the main article for this item.,,bloodborne
"1. Drop from Mergo's Wet Nurse. 2. Located on the altar inside the building of the Abandoned Old Workshop. 3. After the Blood Moon has risen, the NPC Arianna will move to a certain location in the Cathedral Ward. At this point there is a creature beside her that resembles a fetus. Kill it and it will drop the umbilical cord. 4. Dropped by the defenseless Imposter Iosefka if visited (and killed) after slaughtering Rom.",,bloodborne
Consume to gain a Tear Stone Blood Gem.,,bloodborne
"Given by Plain Doll after giving her the Small hair ornament, which is found in the Abandoned Old Workshop.",,bloodborne
Crush to increase your rank in The League.,,bloodborne
"Obtained after successfully completing a co-op session whith the Impurity rune equipped. Also a guaranteed, one-time drop from certain enemy hunters in The Hunter's Nightmare.",,bloodborne
Boosts Max Stamina +10%,,bloodborne
Forbidden Woods on a corpse near the blue aliens.,,bloodborne
Boosts Max Stamina +15%,,bloodborne
Talk to Patches the Spider in Lecture Halls by using the ladder from the second floor. Either option will produce the Rune.,,bloodborne
Boosts Max Stamina +20%,,bloodborne
Lower Ailing Loran Root Chalice,,bloodborne
Arcane DMG Reduction +5%,,bloodborne
"Yahar'gul, Unseen Village - On a corpse near the skeleton slugs.",,bloodborne
Arcane DMG Reduction +7%,,bloodborne
"Byrgenwerth - right at beginning, to left of lamp, near the tree with the brainsucker.",,bloodborne
Arcane DMG Reduction +10%,,bloodborne
Isz Root Chalice,,bloodborne
Temp. boost to transform +20,,bloodborne
"At the very bottom of the Healing Church Workshop Tower, dropped by the Beast-possessed Soul.",,bloodborne
Temp. boost to transform +50,,bloodborne
"Kill the Suspicious Beggar you meet in the Forbidden Woods, at the back of the building with 2 shortcut elevators. Sending the bandaged npc to Iosefka will turn him into an alien that hangs out in the rear of Iosefka's clinic that also drops the rune.",,bloodborne
Temp. boost to transform +100,,bloodborne
Covenant Rune: Transforms character into a ghastly Beast type of creature,,bloodborne
"Defeat Laurence, the First Vicar",,bloodborne
V.ATKs restore HP +200,,bloodborne
Dropped by the Shadow of Yharnam.,,bloodborne
V.ATKs restore HP +250,,bloodborne
Cursed and Defiled Root Chalice,,bloodborne
V.ATKs restore HP +300,,bloodborne
Dropped by the Bloody Crow of Cainhurst fought at the completion of Eileen the Crow's Quest.,,bloodborne
Ups visceral attack ATK +10%,,bloodborne
"Drops from a hunter in the Hypogean Gaol Lamp room in Yahar'gul, Unseen Village, after killing Rom and entering the nightmare version.",,bloodborne
Ups visceral attack ATK +20%,,bloodborne
Dropped by the transformed Gilbert at Central Yharnamat the lamp after killing Rom and entering the nightmare version.,,bloodborne
Ups visceral attack ATK +30%,,bloodborne
Add slow poison RES +100,,bloodborne
Forbidden Woods behind a big gravestone.,,bloodborne
Add slow poison RES +200,,bloodborne
Nightmare Frontier behind a rock thrower on top of a hill.,,bloodborne
Add slow poison RES +300,,bloodborne
Boosts Max HP +5%,,bloodborne
"Forbidden Woods, behind locked gate up the stairs from the boss.",,bloodborne
Boosts Max HP +10%,,bloodborne
"Nightmare Frontier, in a cave across the stone bridge.",,bloodborne
Boosts Max HP +15%,,bloodborne
Pthumeru Ihyll Root Chalice,,bloodborne
Max vials held UP +1,,bloodborne
"Found above the Cathedral Ward Lamp, through the door that opens after defeating the Blood-Starved Beast. Take the elevator up and it's in a chest in the first room.",,bloodborne
Max vials held UP +2,,bloodborne
Max vials held UP +3,,bloodborne
Max vials held UP +4,,bloodborne
Dropped by the Celestial Emmisary.,,bloodborne
Max vials held UP +5,,bloodborne
Covenant Rune: Cont. heal near death +1,,bloodborne
Join the Cainhurst Vilebloods.,,bloodborne
Add frenzy RES +100,,bloodborne
Lower Hintertomb Root Chalice,,bloodborne
Add frenzy RES +200,,bloodborne
Forbidden Woods - by 2 Viper Pits.,,bloodborne
Add frenzy RES +300,,bloodborne
Bolt DMG Reduction +5%,,bloodborne
Forbidden Woods under some huge entangled roots near a pig.,,bloodborne
Bolt DMG Reduction +7%,,bloodborne
Ailing Loran Root Chalice,,bloodborne
Bolt DMG Reduction +10%,,bloodborne
More items from fallen enemies (Item Discovery +50),,bloodborne
"Obtained in Nightmare of Mensis, on a corpse next to the Mergo's Loft: Base Lamp.",,bloodborne
More items from fallen enemies (Item Discovery +70),,bloodborne
Drop from master willem.,,bloodborne
More items from fallen enemies (Item Discovery +100),,bloodborne
Fire DMG Reduction +5%,,bloodborne
Fire DMG Reduction +7%,,bloodborne
Fire DMG Reduction +10%,,bloodborne
Max QS bullets held UP +1,,bloodborne
Send Gascoigne's daughter to Iosefka's Clinic,,bloodborne
Max QS bullets held UP +2,,bloodborne
Lower Pthumeru Root Chalice,,bloodborne
Max QS bullets held UP +3,,bloodborne
Dropped by the Oedon Chapel Dweller in Cathedral Ward.,,bloodborne
Max QS bullets held UP +4,,bloodborne
"A secret passage taking elevator leading to Healing Church Workshop in Cathedral Ward. Take the elevator up, turn around and roll to open rooftop. It's in a chest.",,bloodborne
Max QS bullets held UP +5,,bloodborne
Add all types of RES +50,,bloodborne
Add all types of RES +100,,bloodborne
"Nightmare Frontier - There is a small cave with a hole by the Brain Trust on the cliff, drop down (another Brain Trust right after the drop) in to the poison swamp and take a right. It's in one of the narrow passages guarded by few squids.",,bloodborne
Add all types of RES +150,,bloodborne
All DMG reduction +3%,,bloodborne
All DMG reduction +4%,,bloodborne
"Upper Cathedral Ward, take a right turn at the top of the stairs above the Lamp.",,bloodborne
All DMG reduction +5%,,bloodborne
Rally Potential +10%,,bloodborne
Kill the Carrion Crow on the top floors of the Research Hall,,bloodborne
Rally Potential +20%,,bloodborne
"Defeat Ludwig, The Holy Blade",,bloodborne
Rally Potential +30%,,bloodborne
Would have been located in depth 5 of an unknown Root Chalice. No drop tables exist for this rune and can only be obtained via save editing,,bloodborne
More Blood Echoes gained from V.ATKs (+20%),,bloodborne
"Dropped from Henryk in Tomb of Oedon area. To fight him, follow Eileen the Crow 's quest line.",,bloodborne
More Blood Echoes gained from V.ATKs (+40%),,bloodborne
"Obtained from a corpse in Yahar'gul, Unseen Village. Found in a room with bell ringer that summons a werewolf and a wheelchair enemy, near a brick troll.",,bloodborne
More Blood Echoes gained from V.ATKs (+60%),,bloodborne
Covenant Rune: Increases stamina recovery speed,,bloodborne
Complete Eileen the Crow's questline and she rewards you with this rune along with the Crow Hunter Badge.,,bloodborne
Covenant Rune: Increases max health by 2% while in co-op,,bloodborne
Join The League via Valtr.,,bloodborne
Physical DMG reduction +3%,,bloodborne
Obtained from a corpse at Hemwick Charnel Lane. See Lake rune description for the exact location.,,bloodborne
Physical DMG reduction +5%,,bloodborne
Physical DMG reduction +7%,,bloodborne
Covenant Rune: - Slight increase to Item Discovery - Transforms character into a celestial Kin type of creature,,bloodborne
Complete the questline for Saint Adeline.,,bloodborne
More echoes from slain enemies (+10%),,bloodborne
Obtained just downstairs of the Hypogean Gaol lamp post. Guarded by two Snatchers.,,bloodborne
More echoes from slain enemies (+20%),,bloodborne
Obtained at the very bottom of the spiral staircase during the Micolash boss fight in Nightmare of Mensis.,,bloodborne
More echoes from slain enemies (+30%),,bloodborne
Obtained in Nightmare of Mensis. Stand in front of Brain of Mensis ' eye (giant brain) in Mergo's Loft's 'abyss' and use the 'Make Contact' gesture (wait for your hunter to switch sides).,,bloodborne
V.ATKs grant QS bullets +1,,bloodborne
"Obtained by killing Adella in Hypogean Gaol, Oedon Chapel or Iosefka's Clinic.",,bloodborne
V.ATKs grant QS bullets +2,,bloodborne
"Found after killing Iosefka in Iosefka's Clinic. This must be done before killing Rom, the Vacuous Spider as she will no longer drop this rune after she is killed.",,bloodborne
V.ATKs grant QS bullets +3,,bloodborne
Covenant Rune: Increases HP recovery from Blood Vials.,,bloodborne
Received from completing Alfred's questline. You must return to the first place you met him at the altar and you will find his corpse there with the rune. Does not drop if Alfred is killed before he murders Annalise.,,bloodborne
Add rapid poison RES +100,,bloodborne
Lower Hintertomb Root Chalice.,,bloodborne
Add rapid poison RES +200,,bloodborne
Add rapid poison RES +300,,bloodborne
Shoots a single arcane missile at an enemy,,bloodborne
"Aquired by going through Adeline 's quest line and receiving the Balcony Key. Once you aquire the key go to the door at the far end of the bottom floor of the Research Hall and open it. Go into the large Lumenflower area at the back middle of the area there will be a body that has the Blacksky Eye, but be warned: surrounding the body are many enemys that use the Blacksky Eye against you so bring some good arcane defense.",,bloodborne
Empty Phantasm Shell,,bloodborne
"Coats weapon with arcane damage for a limited time. (Unlimited uses, each use consumes 3 Quicksilver Bullets.) Requirement: 15",,bloodborne
In a chest close to the lake entrance in Byrgenwerth.,,bloodborne
Summon wrathful Spirits. Requirement: 15,,bloodborne
"Jump down the window on the second floor in the library in Cainhurst Castle, and it will be in a chest.",,bloodborne
Enveloping black mist changes user into a messenger. Requirement: 10,,bloodborne
"In the Nightmare Frontier, down in the swamp, guarded by one of the frenzy mages.",,bloodborne
Used to zoom in and see across a distance.,,bloodborne
"Found on corpse in Cathedral District, at balcony above Cleric Beast arena.",,bloodborne
Old Hunter Bone,,bloodborne
The art of of Quickening speeds up rolling and quicksteps. Requriement: 15,,bloodborne
Found in a chest in the Old Abandoned Workshop. (Must have killed Blood Starved Beast to access.),,bloodborne
"Strike into the ground to emit blue sparks. Requirement: 25, Scaling: S",,bloodborne
"In the Unseen Village just before the Amygdala that fires a laser there's a gap in the railings to the right, the tool is in that area.",,bloodborne
A Call Beyond,,bloodborne
Creates a small exploding star. Requirement: 40,,bloodborne
On balcony in Altar of Despair.,,bloodborne
A beast roar that repels nearby foes and objects. Requirements: 15,,bloodborne
Near the hounds in cages in Forbidden Woods.,,bloodborne
"Invigorates all cooperating parties, healing them. Requirement: 15",,bloodborne
"In Nightmare of Mensis, in a chest in the optional area after killing Micolash, Host of the Nightmare, behind the locked Iron Door (use Iron Door Key ) beyond the chained up Frenzy Brain and guarded by two spiders and a frenzy wench.",,bloodborne
Summons a giant snake from the Nightmare to your location. Requirements:18 Bloodtinge.,,bloodborne
Complete Valtr 's questline (or kill him) and kill the Madaras Twin in the Forbidden Woods.,,bloodborne
thisdisambiguationpage lists articles associated with the same title if aninternal linkreferred you here you may wish to change the link to point directly to the intended article,,darkestdungeon
this curio can only appear alongcorridors,,darkestdungeon
75 heirloom25 nothing,,darkestdungeon
discarded packscrounging treasure,,darkestdungeon
60 supplies x1  goldgems x2  journal entry20 scouting20 nothing,,darkestdungeon
60 supplies x1  goldgems x2  journal entry,,darkestdungeon
eldritch altarhaunted unholy,,darkestdungeon
this curio can only appear insiderooms,,darkestdungeon
holy waterpurge negative quirk,,darkestdungeon
purge negative quirk,,darkestdungeon
40 stress 25,,darkestdungeon
10 purge negative quirk,,darkestdungeon
heirloom chesttreasurefirst variant,,darkestdungeon
skeleton keyantivenomheirloom x4heirloom x3,,darkestdungeon
75 heirloom x2,,darkestdungeon
heirloom chesttreasuresecond variant,,darkestdungeon
any loot x3,,darkestdungeon
67 any loot x233 nothing,,darkestdungeon
50 any loot x2,,darkestdungeon
75 gold25 nothing,,darkestdungeon
100 torch x1,,darkestdungeon
stack of booksknowledge,,darkestdungeon
stack of books,,darkestdungeon
22 stress 2522 random positive quirk 6711 random negative quirk 3311 decrease light meter by 2517 journal entry17 nothing,,darkestdungeon
22 stress 25,,darkestdungeon
22 random positive quirk 67,,darkestdungeon
11 random negative quirk 33,,darkestdungeon
11 decrease light meter by 25,,darkestdungeon
17 journal entry,,darkestdungeon
75 any loot x2,,darkestdungeon
a partially intact set of experimental equipmentthis curio can only appear alongcorridors,,darkestdungeon
increase light meterto 100,,darkestdungeon
50 blight an accident occurs during the experiment25 goldgems x1 new metals are synthesized25 nothing the experiments do not yield any findings,,darkestdungeon
50 blight an accident occurs during the experiment,,darkestdungeon
25 goldgems x1 new metals are synthesized,,darkestdungeon
25 nothing the experiments do not yield any findings,,darkestdungeon
altar of lightworship,,darkestdungeon
altar of light,,darkestdungeon
holy water you have curried favor from the godsbuff dmg 30 until camp,,darkestdungeon
holy water you have curried favor from the gods,,darkestdungeon
buff dmg 30 until camp,,darkestdungeon
buff dmg 20 until camp,,darkestdungeon
a bookshelf full of old leatherbound booksthis curio can only appear alongcorridors,,darkestdungeon
20 scouting a map is found tucked between the volumes,,darkestdungeon
133 positive quirk the knowledge forever changes the hero,,darkestdungeon
67 negative quirk the knowledge forever changes the hero,,darkestdungeon
20 journal entry,,darkestdungeon
20 nothing the volumes are dull and uninteresting,,darkestdungeon
confession boothworship reflective,,darkestdungeon
holy water the ritual relieves the herostress heal 30,,darkestdungeon
holy water the ritual relieves the hero,,darkestdungeon
50 stress 15 the heros history of sins is too much to bear25 goldtrinket x6  journal entry the booth contains hidden treasure25 purge negative quirk the hero is absolved of a sin,,darkestdungeon
50 stress 15 the heros history of sins is too much to bear,,darkestdungeon
25 purge negative quirk the hero is absolved of a sin,,darkestdungeon
decorative urnhaunted scrounging,,darkestdungeon
holy water the consecrated water dissolves the ashes valuables remainshovel what sort of person defiles the deadgemstrinket x2  gems x2negative quirk guilty conscience,,darkestdungeon
holy water the consecrated water dissolves the ashes valuables remain,,darkestdungeon
shovel what sort of person defiles the dead,,darkestdungeon
gemstrinket x2  gems x2,,darkestdungeon
negative quirk guilty conscience,,darkestdungeon
444 gemstrinket x1  gems x2 sentimental gifts are hidden inside222 blight the hero becomes infected by the ashes74 disease creeping cough the ashes make the hero cough violently37 random disease the hero contracts a deadly disease222 nothing the urns purpose is purely decorative,,darkestdungeon
444 gemstrinket x1  gems x2 sentimental gifts are hidden inside,,darkestdungeon
222 blight the hero becomes infected by the ashes,,darkestdungeon
74 disease creeping cough the ashes make the hero cough violently,,darkestdungeon
37 random disease the hero contracts a deadly disease,,darkestdungeon
222 nothing the urns purpose is purely decorative,,darkestdungeon
50 goldgems x2 propitiations are found at the bottom of the fountain,,darkestdungeon
iron maidenhaunted torture,,darkestdungeon
any loot x2,,darkestdungeon
40 any loot x2 a few treasures are hidden in the iron maiden20 negative quirk claustrophobia133 disease tetanus 667 disease the hero inhales foul vapours67 random disease 333 disease20 nothing,,darkestdungeon
40 any loot x2 a few treasures are hidden in the iron maiden,,darkestdungeon
20 negative quirk claustrophobia,,darkestdungeon
133 disease tetanus 667 disease the hero inhales foul vapours,,darkestdungeon
locked display cabinettreasure scrounging,,darkestdungeon
locked display cabinet,,darkestdungeon
there could be valuables left inside but this cabinet is lockedthis curio can only appear alongcorridors,,darkestdungeon
skeleton key treasures are stashed in the cabinetshovel smashed the cabinet opengoldheirlooms x3  goldgems x2goldheirlooms x2  goldgems x2,,darkestdungeon
skeleton key treasures are stashed in the cabinet,,darkestdungeon
shovel smashed the cabinet open,,darkestdungeon
goldheirlooms x3  goldgems x2,,darkestdungeon
goldheirlooms x2  goldgems x2,,darkestdungeon
50 bleed its trapped50 blight its trapped,,darkestdungeon
50 bleed its trapped,,darkestdungeon
50 blight its trapped,,darkestdungeon
locked sarcophagushaunted reflective,,darkestdungeon
goldheirlooms x2  goldtrinket x1,,darkestdungeon
goldheirlooms x1  goldtrinket x1,,darkestdungeon
sarcophagushaunted reflective body,,darkestdungeon
haunted reflective body,,darkestdungeon
60 goldheirlooms x2 hidden treasures,,darkestdungeon
20 negative quirk thanatophobia the hero contemplates mortality,,darkestdungeon
suit of armor,,darkestdungeon
125 positive quirk ruins adventurer,,darkestdungeon
125 positive quirk ruins tactician,,darkestdungeon
a dark altar with skulls prominently on display a strange power can be felt in its presencethis curio can only appear insiderooms,,darkestdungeon
dinner cartbody drink food,,darkestdungeon
body drink food,,darkestdungeon
food x3  goldtrinket x1,,darkestdungeon
375 food x1  goldtrinket x1 some of this meat looks edible25 blight the meat makes the hero violently ill125 disease the black plague the swine are not cleanly folk25 nothing nothing but rotting bodies,,darkestdungeon
375 food x1  goldtrinket x1 some of this meat looks edible,,darkestdungeon
25 blight the meat makes the hero violently ill,,darkestdungeon
125 disease the black plague the swine are not cleanly folk,,darkestdungeon
makeshift dining tabledrink food,,darkestdungeon
makeshift dining table,,darkestdungeon
an oddly assembled dining table there might still be food scraps aroundthis curio can only appear insiderooms,,darkestdungeon
medicinal herbs the herbs kill any diseases harbored in the food,,darkestdungeon
food x2  goldsupplies x1,,darkestdungeon
25 food x1  goldsupplies x1 the table contains leftovers from a previous meal25 blight25 disease tapeworm the meat is not fully cooked25 nothing,,darkestdungeon
25 food x1  goldsupplies x1 the table contains leftovers from a previous meal,,darkestdungeon
moonshine barreldrink treasure,,darkestdungeon
buff 30 dmg until camp,,darkestdungeon
333 blight the moonshine is kickedoff making the hero ill,,darkestdungeon
111 negative quirk tippler the hero acquires a taste for this magnificent sauce,,darkestdungeon
occult scrawlingsunholy knowledge,,darkestdungeon
holy water the holy water hisses and the hero feels wrongdebuff 20 dodge,,darkestdungeon
holy water the holy water hisses and the hero feels wrong,,darkestdungeon
debuff 20 dodge,,darkestdungeon
25 stress 25 the sight is too much for the hero to bear,,darkestdungeon
167 random negative quirk the scrawling forever changes the hero,,darkestdungeon
25 nothing the scrawlings are dull and uninteresting,,darkestdungeon
pile of bonesbody haunted unholy,,darkestdungeon
body haunted unholy,,darkestdungeon
all thats left of a previous adventurer perhapsthis curio can only appear alongcorridors,,darkestdungeon
25 any loot x2 the bones house some supplies25 random disease the hero is infected by the rotten pile25 negative quirk bloodthirsty the hero becomes fascinated with the remains25 nothing nothing is found amongst the remains,,darkestdungeon
25 random disease the hero is infected by the rotten pile,,darkestdungeon
25 negative quirk bloodthirsty the hero becomes fascinated with the remains,,darkestdungeon
pile of scrollsknowledge,,darkestdungeon
pile of scrolls,,darkestdungeon
a bunch of scrolls the cursive is sloppy and difficult to readthis curio can only appear alongcorridors,,darkestdungeon
torch the scrolls are full of evil writings burning them is a weight off the heros shoulderspurge negative quirk,,darkestdungeon
torch the scrolls are full of evil writings burning them is a weight off the heros shoulders,,darkestdungeon
286 scouting the scrolls are a wellrendered map of the road ahead143 stress 15 the scrolls contain hideous portents143 journal entry95 random positive quirk the scrolls forever change the hero48 random negative quirk the scrolls forever change the hero286 nothing the scrolls are merely records of dull transactions,,darkestdungeon
143 stress 15 the scrolls contain hideous portents,,darkestdungeon
143 journal entry,,darkestdungeon
95 random positive quirk the scrolls forever change the hero,,darkestdungeon
48 random negative quirk the scrolls forever change the hero,,darkestdungeon
rack of bladesscrounging,,darkestdungeon
rack of blades,,darkestdungeon
a rack of dulled rusty knives they are covered in fresh bloodthis curio can only appear alongcorridors,,darkestdungeon
goldgems x2  food x1,,darkestdungeon
40 goldgems x1  food x1 extra supplies are found amongst the knives,,darkestdungeon
20 nothing nothing useful here,,darkestdungeon
sacrificial stoneunholy worship,,darkestdungeon
50 stress 50 the hero is deeply disturbed25 purge negative quirk a sinful behaviour is vanquished125 positive quirk warrens explorer the stones carvings give great insight into these warrens125 positive quirk warrens scrounger the stones carvings give great insight into these warrens,,darkestdungeon
50 stress 50 the hero is deeply disturbed,,darkestdungeon
25 purge negative quirk a sinful behaviour is vanquished,,darkestdungeon
ancient coffinhaunted body,,darkestdungeon
83 positive quirk weald adventurer findings in the coffin give the hero insight into the nature of this world,,darkestdungeon
83 positive quirk weald explorer findings in the coffin give the hero insight into the nature of this world,,darkestdungeon
medicinal herbs the medicinal herbs rid the carcass of any diseasesfood x2,,darkestdungeon
medicinal herbs the medicinal herbs rid the carcass of any diseases,,darkestdungeon
